fiscal_year,ministry,department,state,district,scheme,allocated_budget,released_budget,spent_budget,quarter,month,vendor_name,project_cost,invoice_amount,utilization_pct,anomaly_type
2020-21,Health & Family Welfare,Directorate of Health,Uttar Pradesh,Allahabad,National Health Mission,52145092.91,39818512.32,4558375.59,Q2,9,Shapoorji Pallonji,44323328.97,4339964.69,8.74,low_utilization
2020-21,Infrastructure & Roads,Directorate of Infrastructure,Bihar,Patna,AMRUT,225155314.1,212412444.17,189645729.51,Q4,1,Afcons Infrastructure,211562210.23,201203611.9,84.23,normal
2019-20,Education,Directorate of Education,Bihar,Purnia,Samagra Shiksha,180130710.86,139433030.52,92570166.46,Q4,1,Kaveri Seeds,163422798.15,170934913.5,51.39,normal
2021-22,Power & Energy,Directorate of Power,Maharashtra,Aurangabad,RDSS,35708019.26,34492527.25,48047512.93,Q2,9,Techno Electric,33922618.3,52210751.45,134.56,overspent
2020-21,Power & Energy,Directorate of Power,Madhya Pradesh,Satna,National Solar Mission,105544008.35,101561124.14,87075595.4,Q3,11,Afcons Infrastructure,95710259.41,89653871.04,82.5,normal
2020-21,Women & Child Development,Directorate of Women,West Bengal,Durgapur,One Stop Centre,115294987.91,90890135.04,66865789.18,Q3,10,GR Infraprojects,113291994.01,111601338.46,58.0,normal
2022-23,Water Resources,Directorate of Water Resources,Bihar,Begusarai,National River Conservation Plan,70675529.44,53833069.26,7510908.79,Q2,8,Pearson India,60074200.02,7607405.96,10.63,low_utilization
2023-24,Power & Energy,Directorate of Power,Tamil Nadu,Tiruchirappalli,SAUBHAGYA,378135296.61,295160411.98,218417376.77,Q4,1,Ganesh Construction Pvt Ltd,347612898.44,343607261.56,57.76,repeat_vendor
2019-20,Urban Development,Directorate of Urban Development,Gujarat,Gandhinagar,HRIDAY,442509436.61,367539319.62,27355244.3,Q1,6,MECON Limited,376133021.12,26819999.76,6.18,low_utilization
2020-21,Women & Child Development,Directorate of Women,Uttar Pradesh,Allahabad,One Stop Centre,149923950.93,141130241.31,164294428.58,Q1,6,Afcons Infrastructure,142427753.38,173156125.53,109.59,overspent
2019-20,Social Justice,Directorate of Social Justice,Uttar Pradesh,Meerut,Pradhan Mantri Adarsh Gram Yojana,439482217.03,356641060.69,254813365.69,Q1,5,Laxmi Infra Works,434819261.95,416802675.93,57.98,repeat_vendor
2022-23,Women & Child Development,Directorate of Women,Maharashtra,Nagpur,Beti Bachao Beti Padhao,264309219.92,262896338.04,351180801.13,Q2,8,PNC Infratech,251093758.92,376218200.27,132.87,overspent
